Fecha,Origen_mineral,Bwi_kWh_t,Ley_Cu_Cabeza_Pct,Humedad_mina_Pct,Gavedad_especifica,Dwi_kWh_m3,TputBM_tph,TputSAG_tph,F_seco_tph,Fino_Cu_tph,Agua_Mineral_tph,F_humedo_tph,Agua_Pulpa_Total_tph,Agua_Adicional_Requerida_tph,Recuperacion_Rougher_Pct,Cu_Fino_C_Rougher_tph,Cu_Fino_T_Rougher_tph,Masa_C_Rougher_tph,Masa_T_Rougher_tph,Agua_C_Rougher_tph,Agua_T_Rougher_tph,Cu_Fino_C_Final_tph,Cu_Fino_T_Cleaner_tph,Masa_C_Final_tph,Masa_T_Cleaner_tph,Agua_C_Final_tph,Agua_T_Cleaner_tph,Agua_Recuperada_tph,Agua_Fresca_Makeup_tph,Masa_Relave_Total_tph,Agua_Perdida_TSF_tph,Agua_Perdida_Filtro_tph,Agua_Total_a_N4_tph,Consumo_Especifico_Agua_m3_t
2026-01-01,Productora,17.674776542112635,0.5058078784556712,4.19852205050151,2.6604443938001325,7.6,3302.838707625549,2648.4265252568184,2648.4265252568184,13.395950019858764,116.06790838117811,2764.4944336379967,5377.108399763843,5261.040491382665,88.24868907334985,11.821750281446509,1.574199738412256,98.5145856787209,2549.9119395780976,295.54375703616273,5081.564642727681,11.821750281446509,0.0,46.17871203690042,52.335873641820484,184.71484814760169,110.82890888856105,4256.728368951207,1004.3121224314582,2602.247813219918,1115.2490628085363,5.130968004100047,5377.108399763843,0.379210868360439
2026-01-02,Cortadera_OP,13.6238058081163,0.45260030105396887,4.373567296141311,2.7142448950992004,6.6,4575.731512256248,2932.061513240525,2932.061513240525,13.270519236014172,134.1006663324576,3066.1621795729825,5952.973375367126,5818.872709034668,82.88863609541636,10.999752397512014,2.2707668385021584,91.66460331260012,2840.3969099279248,274.9938099378004,5677.979565429326,10.999752397512014,0.0,42.9677828027813,48.69682050981882,171.8711312111252,103.12267872667519,4710.016149947467,1108.8565590872013,2889.0937304377435,1238.1830273304615,4.774198089197922,5952.973375367126,0.3781832523225916
2026-01-03,Cortadera_OP,13.116562121066588,0.5926467528898259,4.743445137592506,2.645364012512865,6.6,4807.73950088253,2932.061513240525,2932.061513240525,17.376767350952267,146.00646588775217,3078.0679791282773,5952.973375367126,5806.966909479374,87.4759647004932,15.200494874005832,2.176272476946435,126.67079061671527,2805.39072262381,380.01237185014577,5572.961003516981,15.200494874005832,0.0,59.37693310158528,67.29385751512999,237.50773240634112,142.50463944380465,4715.22540401058,1091.7415054687945,2872.68458013894,1231.15053434526,6.597437011287253,5952.973375367127,0.3723460440849339
2026-01-04,Productora,19.179746386383847,0.4941488003986565,4.076154037901015,2.65275792101267,7.6,2993.4709574086505,2648.4265252568184,2648.4265252568184,13.087167903996392,112.54130155785418,2760.9678268146727,5377.108399763843,5264.567098205989,88.14291791721661,11.535411663307857,1.551756240688535,96.12843052756547,2552.298094729253,288.3852915826964,5088.723108181147,11.535411663307857,0.0,45.06020180979631,51.06822871776916,180.24080723918524,108.14448434351118,4256.373286339428,1008.1938118665612,2603.3663234470223,1115.7284243344382,5.0066890899773675,5377.108399763843,0.3806765270819799
2026-01-05,Productora,18.618900485100756,0.536458078734281,4.90765246924056,2.6457251828532953,7.6,3101.7411676493516,2648.4265252568184,2648.4265252568184,14.207698054081805,136.68352200553795,2785.1100472623566,5377.108399763843,5240.424877758305,88.52674769027739,12.577613008933449,1.6300850451483555,104.81344174111207,2543.6130835157064,314.44032522333623,5062.668074540507,12.577613008933449,0.0,49.131300816146286,55.682140924965786,196.52520326458514,117.91512195875109,4257.665698722396,982.7591790359093,2599.2952244406724,1113.983667617431,5.459033424016254,5377.108399763843,0.37107285011073166
2026-01-06,Productora,19.158994706311077,0.5157536303969578,3.2784663188309597,2.7226099989764396,7.6,2997.3421917870305,2648.4265252568184,2648.4265252568184,13.659355952408042,89.7708796634132,2738.1974049202317,5377.108399763843,5287.33752010043,88.33891693496119,12.066527108648417,1.5928288437596247,100.55439257207014,2547.872132684748,301.66317771621044,5075.445222047633,12.066527108648417,0.0,47.13487151815788,53.41952105391226,188.53948607263152,113.12369164357892,4257.03191164367,1030.3056084567597,2601.2916537386604,1114.8392801737116,5.237207946461987,5377.108399763844,0.3890255586217748
2026-01-07,Productora,17.343036564261727,0.4611203606824912,3.701255313884406,2.647093192093272,7.6,3379.8342179879673,2648.4265252568184,2648.4265252568184,12.21243394567501,101.79263272839466,2750.2191579852133,5377.108399763843,5275.3157670354485,87.84328391211156,10.727803023478387,1.4846309221966223,89.39835852898656,2559.028166727832,268.19507558695966,5108.913324176884,10.727803023478387,0.0,41.90548056046245,47.49287796852411,167.6219222418498,100.57315334510986,4255.371787530116,1019.9439795053322,2606.521044696356,1117.0804477270096,4.65616450671805,5377.108399763843,0.38511318693518526
2026-01-08,Cortadera_OP,13.585297324043655,0.5368568529359125,3.0007629380286325,2.6649532092374733,6.6,4592.556559650676,2932.061513240525,2932.061513240525,15.740973166128176,90.70608993894596,3022.767603179471,5952.973375367126,5862.26728542818,85.79364322171747,13.504754357774292,2.2362188083538843,112.5396196481191,2819.521893592406,337.61885894435727,5615.354516422769,13.504754357774292,0.0,52.75294671005583,59.78667293806327,211.01178684022332,126.60707210413395,4713.122551187871,1149.144734240309,2879.3085665304693,1233.9893856559154,5.861438523339537,5952.973375367126,0.3919238150533445
2026-01-09,Productora,15.979422839605997,0.4724720667951248,4.057661388893625,2.6709991525268055,7.6,3738.0244392223376,2648.4265252568184,2648.4265252568184,12.513075541431197,112.00913182256205,2760.4356570793807,5377.108399763843,5265.099267941281,87.94626658996538,11.004782774270833,1.5082927671603645,91.70652311892361,2556.720002137895,275.11956935677085,5101.988830407073,11.004782774270833,0.0,42.98743271199544,48.719090406928174,171.94973084798175,103.1698385087891,4255.715264403619,1009.3840035376625,2605.439092544823,1116.6167539477813,4.776381412443937,5377.108399763843,0.38112592284952374
2026-01-10,Productora,18.766497873261063,0.47609101245096,4.119068182919688,2.736403994175183,7.6,3072.495582159064,2648.4265252568184,2648.4265252568184,12.608920658114968,113.77704855641129,2762.20357381323,5377.108399763843,5263.331351207432,87.9790976649551,11.093214620299669,1.5157060378152991,92.44345516916391,2555.9830700876546,277.3303655074917,5099.778034256352,11.093214620299669,0.0,43.33286961054558,49.11058555861833,173.33147844218232,103.99888706530939,4255.824926911095,1007.5064242963372,2605.093655646273,1116.4687095626884,4.814763290060619,5377.108399763844,0.38041698143717206
